rows;run;file;target_column;metric;value
600;1;Statlog_German_Credit_Data_600.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6802968438892268
600;1;Statlog_German_Credit_Data_600.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7391808460310776
600;2;Statlog_German_Credit_Data_600.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6881468311524925
600;2;Statlog_German_Credit_Data_600.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7324526271463997
600;3;Statlog_German_Credit_Data_600.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6917802835353015
600;3;Statlog_German_Credit_Data_600.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7492405267289467
600;4;Statlog_German_Credit_Data_600.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6868481521337929
600;4;Statlog_German_Credit_Data_600.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7420755158377392
600;5;Statlog_German_Credit_Data_600.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6880949484552161
600;5;Statlog_German_Credit_Data_600.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7383930400245377
700;1;Statlog_German_Credit_Data_700.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.676653788008963
700;1;Statlog_German_Credit_Data_700.csv;credit risk;performance.xgb.gt.1.0.maximize;0.6921622433163759
700;2;Statlog_German_Credit_Data_700.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6772524199553238
700;2;Statlog_German_Credit_Data_700.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7088372411901822
700;3;Statlog_German_Credit_Data_700.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6701281096664566
700;3;Statlog_German_Credit_Data_700.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7182955044459141
700;4;Statlog_German_Credit_Data_700.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6718381767153174
700;4;Statlog_German_Credit_Data_700.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7013983410483784
700;5;Statlog_German_Credit_Data_700.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6796019071521677
700;5;Statlog_German_Credit_Data_700.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7004578692590606
800;1;Statlog_German_Credit_Data_800.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6888571471894949
800;1;Statlog_German_Credit_Data_800.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7403511804576264
800;2;Statlog_German_Credit_Data_800.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6826263729043149
800;2;Statlog_German_Credit_Data_800.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7456582611816202
800;3;Statlog_German_Credit_Data_800.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6830605973302601
800;3;Statlog_German_Credit_Data_800.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7406942233139749
800;4;Statlog_German_Credit_Data_800.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6777486643719642
800;4;Statlog_German_Credit_Data_800.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7466430120244432
800;5;Statlog_German_Credit_Data_800.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6912464682305014
800;5;Statlog_German_Credit_Data_800.csv;credit risk;performance.xgb.gt.1.0.maximize;0.731706722871714
900;1;Statlog_German_Credit_Data_900.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6677339690193369
900;1;Statlog_German_Credit_Data_900.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7463125460484293
900;2;Statlog_German_Credit_Data_900.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6835049823137482
900;2;Statlog_German_Credit_Data_900.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7397436186847138
900;3;Statlog_German_Credit_Data_900.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.671984452695807
900;3;Statlog_German_Credit_Data_900.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7294166127576214
900;4;Statlog_German_Credit_Data_900.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.683190342680936
900;4;Statlog_German_Credit_Data_900.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7375021955977109
900;5;Statlog_German_Credit_Data_900.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.6805353732559107
900;5;Statlog_German_Credit_Data_900.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7375622318925268
1000;1;Statlog_German_Credit_Data_1000.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.7027157738095238
1000;1;Statlog_German_Credit_Data_1000.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7799107142857142
1000;2;Statlog_German_Credit_Data_1000.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.71015625
1000;2;Statlog_German_Credit_Data_1000.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7735863095238095
1000;3;Statlog_German_Credit_Data_1000.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.7096354166666666
1000;3;Statlog_German_Credit_Data_1000.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7579985119047619
1000;4;Statlog_German_Credit_Data_1000.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.7087797619047619
1000;4;Statlog_German_Credit_Data_1000.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7723586309523809
1000;5;Statlog_German_Credit_Data_1000.csv;credit risk;performance.linear_model.gt.1.0.maximize;0.707924107142857
1000;5;Statlog_German_Credit_Data_1000.csv;credit risk;performance.xgb.gt.1.0.maximize;0.7830357142857143
