metric_clean;rows;mean;median;q1;q3
TSTR Linear;100;0,608803030303030;0,614090909090909;0,599848484848485;0,617727272727273
TSTR Linear;200;0,657848924022837;0,658858146684234;0,657663592446201;0,663293807641634
TSTR Linear;300;0,696552414905356;0,688963585434174;0,687894915541974;0,703039640098464
TSTR Linear;400;0,717945080091533;0,725766590389016;0,709132977370964;0,727747266717518
TSTR Linear;500;0,631156491772911;0,629455432058407;0,619473956630707;0,645179865424431
TSTR Linear;600;0,687033411833206;0,688094948455216;0,686848152133793;0,688146831152493
TSTR Linear;700;0,675094880299646;0,676653788008963;0,671838176715317;0,677252419955324
TSTR Linear;800;0,684707850005307;0,683060597330260;0,682626372904315;0,688857147189495
TSTR Linear;900;0,677389823993148;0,680535373255911;0,671984452695807;0,683190342680936
TSTR Linear;1000;0,707842261904762;0,708779761904762;0,707924107142857;0,709635416666667
TSTR XGBoost;100;0,662287878787879;0,677121212121212;0,633484848484849;0,693333333333333
TSTR XGBoost;200;0,729257795344752;0,725125164690382;0,724036012296882;0,731769872639438
TSTR XGBoost;300;0,740909090909091;0,736704014939309;0,728024785671844;0,749535693065105
TSTR XGBoost;400;0,781359267734554;0,786615814899568;0,764825832697686;0,793803712178998
TSTR XGBoost;500;0,675125790018525;0,685706113108859;0,668444548872180;0,686259126076060
TSTR XGBoost;600;0,740268511153740;0,739180846031078;0,738393040024538;0,742075515837739
TSTR XGBoost;700;0,704230239851982;0,701398341048378;0,700457869259061;0,708837241190182
TSTR XGBoost;800;0,741010679969876;0,740694223313975;0,740351180457626;0,745658261181620
TSTR XGBoost;900;0,738107440996200;0,737562231892527;0,737502195597711;0,739743618684714
TSTR XGBoost;1000;0,773377976190476;0,773586309523809;0,772358630952381;0,779910714285714
